type,zid,facebook,twitter,instagram,youtube,medium,pinterest,storify,linkedin,google,vimeo,flickr,slideshare
Department of Energy,1,energygov,ENERGY,energy,USdepartmentofenergy,,energy,energy,u-s--department-of-energy,EnergyGov,energygov,departmentofenergy,energy
Secretary of Energy,2,SecretaryPerry,secretaryperry,,,,,,,,,,
Deputy Secretary of Energy,3,,,,,,,,,,,,
Press Secretary,4,,EnergyPressSec,,,,,,,,,,
Federal Energy Regulatory Commission,5,,,,,,,,,,,,
Office of the Under Secretary for Nuclear Security and National Nuclear Security Organization,6,,,,,,,,,,,,
Under Secretary for Nuclear Security Administration,7,,,,,,,,,,,,
NNSA,8,NNSANews,nnsanews,,,,,,,,,,
Other Nuclear Security,9,,,,,,,,,,,,
Office of the Under Secretary for Science & Energy,10,,,,,,,,,,,,
EERE,11,eeregov,,,,,,,,,,,
Energy Saver,12,energysavergov,EnergySaver,,,,,,,,,,
Science Bowl,13,,DOE_SC_NSB,,,,,,,,,nationalsciencebowl,
Better Buildings Challenge,14,,betterbldgsdoe,,,,,,better-buildings,,,,
BioenergyKDF,15,,,,,,,,,,,,
Solar Decathlon,16,DOESolarDecathlon,solar_decathlon,,DOESolarDecathlon,,,,,DOESolarDecathlon,,solar_decathlon,
Office of Science,17,,doescience,,doescience,,,,,,,,
SBIR,18,,doesbir,,,,,,,,,,
Fossil Energy,19,FossilEnergy,fossilenergygov,,,,,,,,,,
Nuclear Energy,20,,,,,,,,,,,,
Electricity,21,,,,,,,,,,,,
Indian Energy,22,,,,,,,,,,,,
Office of Technology Transitions,23,,,,,,,,,,,,
ARPA-E,24,arpaegov,ARPAE,,,,,,advanced-research-projects-agency-energy-arpa-e-,ARPAEGOV,,,
Energy Information Administration,25,eiagov,eiagov,,EIAgov,,,,u-s-energy-information-administration,,,eiagov,
Ames Laboratory,26,AmesLaboratory,Ames_Laboratory,,,,,,,,,,
Argonne National Laboratory,27,argonne,argonne,argonne,,,,,,,,,
Brookhaven National Laboratory,28,brookhavenlab,BrookhavenLab,brookhavenlab,,,,,,,,,
Fermi National Accelerator Laboratory,29,Fermilab,Fermilab,fermilab,,,,,,,,,
Idaho National Laboratory,30,IdahoNationalLaboratory,INL,idaho_national_lab,,,,,,,,,
Jefferson Lab,31,JeffersonLab,JLab_News,,,,,,,,,,
Lawrence Berkeley National Laboratory,32,BerkeleyLab,BerkeleyLab,berkeleylab,,,,,,,,,
Lawrence Livermore National Laboratory,33,livermore.lab,Livermore_Lab,livermore_lab,,,,,,,,,
Los Alamos National Laboratory,34,LosAlamosNationalLab,LosAlamosNatLab,losalamosnatlab,,,,,,,,,
National Energy Technology Laboratory,35,NationalEnergyTechnologyLaboratory,NETL_DOE,netl_doe,,,,,,,,,
National Renewable Energy Laboratory,36,nationalrenewableenergylab,NREL,nationalrenewableenergylab,,,,,,,,,
Oak Ridge National Laboratory,37,Oak.Ridge.National.Laboratory,ORNL,oakridgelab,,,,,,,,,
Pacific Northwest National Laboratory,38,PNNLgov,PNNLab,pnnlab,,,,,,,,,
Princeton Plasma Physics Laboratory,39,PPPLab,PPPLab,ppplab,,,,,,,,,
Sandia National Laboratory,40,SandiaLabs,SandiaLabs,_sandialabs,,,,,,,,,
Savannah River National Laboratory,41,,,,,,,,,,,,
SLAC National Accelerator Laboratory,42,SLAC.National.Lab,SLAClab,,,,,,,,,,
ORNL Building Tech,43,,ORNLbuildings,,,,,,,,,,
ORNL Manufacturing,44,,ORNLMDF,,,,,,,,,,
LBNL Media Report,45,,LBNLmediareport,,,,,,,,,,
Legacy Management,46,,,,,,,,,,,,
Environmental Management,47,,,,,,,,,,,,
